Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Postcode,Regionname,Propertycount,Distance,CouncilArea,Price_per_Room,property_type
Abbotsford,49 Lithgow St,3,h,1490000.0,S,Jellis,1/04/2017,3067,Northern Metropolitan,4019,3.0,Yarra City Council,496666.6666666667,House
Abbotsford,59A Turner St,3,h,1220000.0,S,Marshall,1/04/2017,3067,Northern Metropolitan,4019,3.0,Yarra City Council,406666.6666666667,House
Abbotsford,119B Yarra St,3,h,1420000.0,S,Nelson,1/04/2017,3067,Northern Metropolitan,4019,3.0,Yarra City Council,473333.3333333333,House
Aberfeldie,68 Vida St,3,h,1515000.0,S,Barry,1/04/2017,3040,Western Metropolitan,1543,7.5,Moonee Valley City Council,505000.0,House
Airport West,92 Clydesdale Rd,2,h,670000.0,S,Nelson,1/04/2017,3042,Western Metropolitan,3464,10.4,Moonee Valley City Council,335000.0,House
Airport West,4/32 Earl St,2,t,530000.0,S,Jellis,1/04/2017,3042,Western Metropolitan,3464,10.4,Moonee Valley City Council,265000.0,Townhouse
Airport West,3/74 Hawker St,2,u,540000.0,S,Barry,1/04/2017,3042,Western Metropolitan,3464,10.4,Moonee Valley City Council,270000.0,Unit
Airport West,1/26 Highridge Cr,3,h,715000.0,SP,Nelson,1/04/2017,3042,Western Metropolitan,3464,10.4,Moonee Valley City Council,238333.33333333334,House
Albert Park,18 Mills St,3,h,1925000.0,S,Cayzer,1/04/2017,3206,Southern Metropolitan,3280,3.0,Port Phillip City Council,641666.6666666666,House
Albion,3/15 Drummartin St,3,u,515000.0,S,Douglas,1/04/2017,3020,Western Metropolitan,2185,10.5,Brimbank City Council,171666.66666666666,Unit
Albion,3A Kororoit St,4,h,717000.0,S,Bells,1/04/2017,3020,Western Metropolitan,2185,10.5,Brimbank City Council,179250.0,House
Alphington,55 Fulham Rd,2,h,1675000.0,S,Miles,1/04/2017,3078,Northern Metropolitan,2211,5.7,Darebin City Council,837500.0,House
Alphington,41 Toolangi Rd,4,h,2008000.0,S,Jellis,1/04/2017,3078,Northern Metropolitan,2211,5.7,Darebin City Council,502000.0,House
Altona,9 Delmont Av,2,h,860000.0,SP,Barlow,1/04/2017,3018,Western Metropolitan,5301,11.0,Hobsons Bay City Council,430000.0,House
Altona North,14 Seventh Av,3,h,720000.0,S,Hunter,1/04/2017,3025,Western Metropolitan,5132,9.4,Hobsons Bay City Council,240000.0,House
Armadale,2/23 Ashleigh Rd,2,u,836000.0,S,Jellis,1/04/2017,3143,Southern Metropolitan,4836,6.3,Stonnington City Council,418000.0,Unit
